Tratamiento	days	variable_de_respuesta	valor
150	Antraceno	70	total_organic_carbon	17.45
151	Antraceno	70	g_N_per_kg_soil	2.08
152	Antraceno	70	pH	5.89
153	Antraceno	70	total_organic_carbon	22.54
154	Fenantreno	70	g_N_per_kg_soil	2.08
155	Fenantreno	70	pH	6.29
156	Fenantreno	70	total_organic_carbon	22.78
157	Fenantreno	70	g_N_per_kg_soil	1.89
158	Fenantreno	70	pH	5.96
159	Fenantreno	70	total_organic_carbon	17.53
160	Fenantreno	70	g_N_per_kg_soil	2.08
161	Fenantreno	70	pH	5.82
162	Fenantreno	70	total_organic_carbon	22.94
